mach,cd
4.73,1.891825
4.74,1.891947
4.75,1.892068
4.76,1.892186
4.77,1.892302
4.78,1.892417
4.79,1.892529
4.8,1.892639
4.81,1.892747
4.82,1.892853
4.83,1.892957
4.84,1.89306
4.85,1.89316
4.86,1.893258
4.87,1.893354
4.88,1.893449
4.89,1.893541
4.9,1.893632
4.91,1.893721
4.92,1.893807
4.93,1.893893
4.94,1.893975
4.95,1.894056
4.96,1.894136
4.97,1.894213
4.98,1.894289
4.99,1.894363
5,1.894435
5.01,1.894534
5.02,1.89461
5.03,1.894684
5.04,1.894757
5.05,1.894828
5.06,1.894898
5.07,1.894965
5.08,1.895033
5.09,1.895097
5.1,1.895159
5.11,1.895221
5.12,1.895282
5.13,1.89534
5.14,1.895397
5.15,1.895453
5.16,1.895506
5.17,1.895558
5.18,1.895609
5.19,1.895657
5.2,1.895704
5.21,1.89575
5.22,1.895795
5.23,1.895837
5.24,1.895879
5.25,1.895918
5.26,1.895956
5.27,1.895993
5.28,1.896028
5.29,1.896062
5.3,1.896094
5.31,1.896124
5.32,1.896154
5.33,1.896181
5.34,1.896207
5.35,1.896232
5.36,1.896254
5.37,1.896276
5.38,1.896297
5.39,1.896316
5.4,1.896333
5.41,1.896347
5.42,1.896362
5.43,1.896375
5.44,1.896386
5.45,1.896395
5.46,1.896404
5.47,1.896411
5.48,1.896416
5.49,1.896419
5.5,1.896422
5.51,1.896422
5.52,1.896421
5.53,1.896419
5.54,1.896416
5.55,1.896411
5.56,1.896403
5.57,1.896396
5.58,1.896386
5.59,1.896375
5.6,1.896362
5.61,1.896348
5.62,1.896332
5.63,1.896316
5.64,1.896297
5.65,1.896277
5.66,1.896255
5.67,1.896233
5.68,1.896209
5.69,1.896183
5.7,1.896155
5.71,1.896126
5.72,1.896095
5.73,1.896064
5.74,1.89603
5.75,1.895995
5.76,1.895959
5.77,1.895921
5.78,1.895882
5.79,1.895841
5.8,1.895799
5.81,1.895755
5.82,1.895709
5.83,1.895662
