mach,cd
7.89,1.894723
7.9,1.89468
7.91,1.894636
7.92,1.894594
7.93,1.89455
7.94,1.894507
7.95,1.894463
7.96,1.89442
7.97,1.894377
7.98,1.894334
7.99,1.894291
8,1.894248
8.01,1.894205
8.02,1.894162
8.03,1.894119
8.04,1.894076
8.05,1.894033
8.06,1.89399
8.07,1.893948
8.08,1.893905
8.09,1.893863
8.1,1.89382
8.11,1.893778
8.12,1.893735
8.13,1.893693
8.14,1.89365
8.15,1.893608
8.16,1.893565
8.17,1.893523
8.18,1.893481
8.19,1.893439
8.2,1.893396
8.21,1.893355
8.22,1.893312
8.23,1.893271
8.24,1.893228
8.25,1.893187
8.26,1.893145
8.27,1.893103
8.28,1.893062
8.29,1.89302
8.3,1.892978
8.31,1.892936
8.32,1.892895
8.33,1.892854
8.34,1.892812
8.35,1.892771
8.36,1.892729
8.37,1.892688
8.38,1.892647
8.39,1.892605
8.4,1.892565
8.41,1.892523
8.42,1.892482
8.43,1.892441
8.44,1.8924
8.45,1.892359
8.46,1.892318
8.47,1.892277
8.48,1.892237
8.49,1.892196
8.5,1.892156
8.51,1.892115
8.52,1.892074
8.53,1.892034
8.54,1.891993
8.55,1.891953
8.56,1.891913
8.57,1.891872
8.58,1.891832
8.59,1.891791
8.6,1.891751
8.61,1.891712
8.62,1.891671
8.63,1.891631
8.64,1.891591
8.65,1.891552
8.66,1.891511
8.67,1.891471
8.68,1.891432
8.69,1.891392
8.7,1.891353
8.71,1.891313
8.72,1.891274
8.73,1.891234
8.74,1.891194
8.75,1.891155
8.76,1.891116
8.77,1.891076
8.78,1.891037
8.79,1.890998
8.8,1.890959
8.81,1.89092
8.82,1.890881
8.83,1.890841
8.84,1.890803
8.85,1.890764
8.86,1.890725
8.87,1.890686
8.88,1.890648
8.89,1.890608
8.9,1.89057
8.91,1.890532
8.92,1.890493
8.93,1.890454
8.94,1.890416
8.95,1.890378
8.96,1.890339
8.97,1.890301
8.98,1.890263
8.99,1.890225
9,1.890186
9.01,1.890148
9.02,1.89011
9.03,1.890072
9.04,1.890034
9.05,1.889997
9.06,1.889959
9.07,1.889921
9.08,1.889884
9.09,1.889845
9.1,1.889808
9.11,1.88977
9.12,1.889733
9.13,1.889696
9.14,1.889658
9.15,1.889621
9.16,1.889583
9.17,1.889546
9.18,1.889509
9.19,1.889472
9.2,1.889434
9.21,1.889398
9.22,1.88936
9.23,1.889323
9.24,1.889287
9.25,1.88925
9.26,1.889213
9.27,1.889176
9.28,1.88914
9.29,1.889103
9.3,1.889066
9.31,1.889029
9.32,1.888992
9.33,1.888957
9.34,1.88892
9.35,1.888884
9.36,1.888848
9.37,1.888811
9.38,1.888775
9.39,1.888739
9.4,1.888702
9.41,1.888666
9.42,1.88863
9.43,1.888595
9.44,1.888559
9.45,1.888523
9.46,1.888487
9.47,1.888451
9.48,1.888416
9.49,1.88838
9.5,1.888344
9.51,1.888309
9.52,1.888274
9.53,1.888238
9.54,1.888203
9.55,1.888167
9.56,1.888132
9.57,1.888097
9.58,1.888061
9.59,1.888026
9.6,1.887991
9.61,1.887956
9.62,1.887921
9.63,1.887886
9.64,1.887851
9.65,1.887816
9.66,1.887781
9.67,1.887746
9.68,1.887712
9.69,1.887677
9.7,1.887642
9.71,1.887608
9.72,1.887574
9.73,1.887539
9.74,1.887505
9.75,1.88747
9.76,1.887436
9.77,1.887401
9.78,1.887368
9.79,1.887333
9.8,1.887299
9.81,1.887265
9.82,1.887231
9.83,1.887197
9.84,1.887163
9.85,1.88713
9.86,1.887095
9.87,1.887061
9.88,1.887028
9.89,1.886994
9.9,1.886961
9.91,1.886927
9.92,1.886893
9.93,1.88686
9.94,1.886827
9.95,1.886793
9.96,1.88676
9.97,1.886727
9.98,1.886694
9.99,1.88666
10,1.886627
10.01,1.886645
10.02,1.886661
10.03,1.886677
10.04,1.886693
10.05,1.886709
10.06,1.886723
10.07,1.886739
10.08,1.886754
10.09,1.88677
10.1,1.886785
10.11,1.8868
10.12,1.886815
10.13,1.886831
10.14,1.886846
10.15,1.88686
10.16,1.886876
10.17,1.88689
10.18,1.886906
10.19,1.886921
10.2,1.886935
10.21,1.88695
10.22,1.886965
10.23,1.886979
10.24,1.886994
10.25,1.887008
10.26,1.887023
10.27,1.887037
10.28,1.887052
10.29,1.887066
10.3,1.88708
10.31,1.887094
10.32,1.887108
10.33,1.887123
10.34,1.887136
10.35,1.887151
10.36,1.887165
10.37,1.887179
10.38,1.887193
10.39,1.887207
10.4,1.887221
10.41,1.887234
10.42,1.887248
10.43,1.887261
10.44,1.887275
10.45,1.887289
10.46,1.887302
10.47,1.887316
10.48,1.887329
10.49,1.887343
10.5,1.887355
10.51,1.887369
10.52,1.887382
10.53,1.887396
10.54,1.887409
10.55,1.887422
10.56,1.887435
10.57,1.887448
10.58,1.887461
10.59,1.887474
10.6,1.887487
10.61,1.8875
10.62,1.887513
10.63,1.887525
10.64,1.887539
10.65,1.887551
10.66,1.887564
10.67,1.887577
10.68,1.887588
10.69,1.887601
10.7,1.887614
10.71,1.887627
10.72,1.887639
10.73,1.887652
10.74,1.887664
10.75,1.887676
10.76,1.887688
10.77,1.8877
10.78,1.887713
10.79,1.887725
10.8,1.887737
10.81,1.887749
10.82,1.887761
10.83,1.887773
10.84,1.887786
10.85,1.887797
10.86,1.887809
10.87,1.887822
10.88,1.887832
10.89,1.887844
10.9,1.887856
10.91,1.887868
10.92,1.887879
10.93,1.887891
10.94,1.887903
10.95,1.887915
10.96,1.887926
10.97,1.887937
10.98,1.887949
10.99,1.88796
11,1.887971
11.01,1.887983
11.02,1.887995
11.03,1.888006
11.04,1.888017
11.05,1.888028
11.06,1.888039
11.07,1.88805
11.08,1.888062
11.09,1.888073
11.1,1.888084
11.11,1.888095
11.12,1.888106
11.13,1.888117
11.14,1.888127
11.15,1.888138
11.16,1.88815
11.17,1.88816
11.18,1.888171
11.19,1.888182
11.2,1.888192
11.21,1.888203
11.22,1.888213
11.23,1.888224
11.24,1.888234
11.25,1.888245
11.26,1.888256
11.27,1.888266
11.28,1.888276
11.29,1.888287
11.3,1.888297
11.31,1.888308
11.32,1.888318
11.33,1.888328
11.34,1.888338
11.35,1.888348
11.36,1.888359
11.37,1.888369
11.38,1.888379
11.39,1.888389
11.4,1.888399
11.41,1.888409
11.42,1.88842
11.43,1.888429
11.44,1.88844
11.45,1.888449
11.46,1.888459
11.47,1.888469
11.48,1.888478
11.49,1.888488
11.5,1.888498
11.51,1.888508
11.52,1.888518
11.53,1.888528
11.54,1.888537
11.55,1.888547
11.56,1.888556
11.57,1.888566
11.58,1.888575
11.59,1.888584
11.6,1.888595
11.61,1.888604
11.62,1.888613
11.63,1.888623
11.64,1.888632
11.65,1.888641
11.66,1.888651
11.67,1.888659
11.68,1.888669
11.69,1.888679
11.7,1.888687
11.71,1.888696
11.72,1.888706
11.73,1.888715
11.74,1.888724
11.75,1.888733
11.76,1.888742
11.77,1.888751
11.78,1.88876
11.79,1.888769
11.8,1.888778
11.81,1.888787
11.82,1.888795
11.83,1.888805
11.84,1.888814
11.85,1.888822
11.86,1.888831
11.87,1.88884
11.88,1.888848
11.89,1.888857
11.9,1.888866
11.91,1.888874
11.92,1.888883
11.93,1.888892
11.94,1.8889
11.95,1.888909
11.96,1.888917
11.97,1.888926
11.98,1.888934
11.99,1.888943
12,1.888952
12.01,1.888959
12.02,1.888968
12.03,1.888976
12.04,1.888985
12.05,1.888993
12.06,1.889001
12.07,1.889009
12.08,1.889018
12.09,1.889026
12.1,1.889034
12.11,1.889042
12.12,1.88905
12.13,1.889059
12.14,1.889067
12.15,1.889074
12.16,1.889083
12.17,1.889091
12.18,1.889099
12.19,1.889107
12.2,1.889115
12.21,1.889122
12.22,1.889131
12.23,1.889139
12.24,1.889146
12.25,1.889154
12.26,1.889162
12.27,1.88917
12.28,1.889177
12.29,1.889185
12.3,1.889193
12.31,1.889201
12.32,1.889208
12.33,1.889216
12.34,1.889224
12.35,1.889231
12.36,1.889239
12.37,1.889246
12.38,1.889255
12.39,1.889262
12.4,1.889269
12.41,1.889277
12.42,1.889285
12.43,1.889292
12.44,1.889299
12.45,1.889307
12.46,1.889314
12.47,1.889322
12.48,1.889329
12.49,1.889337
12.5,1.889343
12.51,1.889351
12.52,1.889358
12.53,1.889365
12.54,1.889373
12.55,1.889379
12.56,1.889387
12.57,1.889394
12.58,1.889402
12.59,1.889409
12.6,1.889415
12.61,1.889422
12.62,1.889429
12.63,1.889436
12.64,1.889444
12.65,1.889451
12.66,1.889457
12.67,1.889464
12.68,1.889471
12.69,1.889479
12.7,1.889486
12.71,1.889493
12.72,1.889499
12.73,1.889507
12.74,1.889513
12.75,1.88952
12.76,1.889526
12.77,1.889534
12.78,1.88954
12.79,1.889547
12.8,1.889554
12.81,1.889561
12.82,1.889567
12.83,1.889574
12.84,1.88958
12.85,1.889587
12.86,1.889594
12.87,1.8896
12.88,1.889607
12.89,1.889614
12.9,1.889621
12.91,1.889627
12.92,1.889633
12.93,1.88964
12.94,1.889646
12.95,1.889653
12.96,1.889659
12.97,1.889666
12.98,1.889672
12.99,1.889679
13,1.889685
13.01,1.889691
13.02,1.889698
13.03,1.889704
13.04,1.88971
13.05,1.889716
13.06,1.889722
13.07,1.889729
13.08,1.889735
13.09,1.889741
13.1,1.889748
13.11,1.889754
13.12,1.88976
13.13,1.889767
13.14,1.889772
13.15,1.889779
13.16,1.889785
13.17,1.889791
13.18,1.889797
13.19,1.889803
13.2,1.889809
13.21,1.889815
13.22,1.889821
13.23,1.889827
13.24,1.889833
13.25,1.889839
13.26,1.889845
13.27,1.889851
13.28,1.889857
13.29,1.889863
13.3,1.889868
13.31,1.889874
13.32,1.889881
13.33,1.889886
13.34,1.889892
13.35,1.889898
13.36,1.889904
13.37,1.88991
13.38,1.889915
13.39,1.889921
13.4,1.889927
13.41,1.889933
13.42,1.889938
13.43,1.889944
13.44,1.88995
13.45,1.889956
13.46,1.889961
13.47,1.889966
13.48,1.889973
13.49,1.889978
13.5,1.889983
13.51,1.88999
13.52,1.889995
13.53,1.89
13.54,1.890006
13.55,1.890011
13.56,1.890017
13.57,1.890022
13.58,1.890028
13.59,1.890033
13.6,1.890039
13.61,1.890044
13.62,1.89005
13.63,1.890056
13.64,1.89006
13.65,1.890066
13.66,1.890072
13.67,1.890076
13.68,1.890082
13.69,1.890087
13.7,1.890093
13.71,1.890098
13.72,1.890103
13.73,1.890108
13.74,1.890114
13.75,1.890119
13.76,1.890124
13.77,1.89013
13.78,1.890135
13.79,1.89014
13.8,1.890145
13.81,1.89015
13.82,1.890156
13.83,1.890161
13.84,1.890166
13.85,1.890171
13.86,1.890176
13.87,1.890182
13.88,1.890186
13.89,1.890191
13.9,1.890196
13.91,1.890202
13.92,1.890207
13.93,1.890212
13.94,1.890216
13.95,1.890222
13.96,1.890226
13.97,1.890232
13.98,1.890236
13.99,1.890241
14,1.890247
14.01,1.890251
14.02,1.890256
14.03,1.890261
14.04,1.890266
14.05,1.890271
14.06,1.890276
14.07,1.890281
14.08,1.890285
14.09,1.890291
14.1,1.890295
14.11,1.8903
14.12,1.890305
14.13,1.89031
14.14,1.890314
14.15,1.890319
14.16,1.890324
14.17,1.890329
14.18,1.890333
14.19,1.890338
14.2,1.890343
14.21,1.890347
14.22,1.890352
14.23,1.890357
14.24,1.890362
14.25,1.890366
14.26,1.890371
14.27,1.890376
14.28,1.89038
14.29,1.890385
14.3,1.890389
14.31,1.890394
14.32,1.890398
14.33,1.890403
14.34,1.890407
14.35,1.890412
14.36,1.890416
14.37,1.890421
14.38,1.890426
14.39,1.89043
14.4,1.890434
14.41,1.890439
14.42,1.890443
14.43,1.890447
14.44,1.890452
14.45,1.890457
14.46,1.890461
14.47,1.890465
14.48,1.89047
14.49,1.890474
14.5,1.890479
14.51,1.890483
14.52,1.890487
14.53,1.890491
14.54,1.890496
14.55,1.8905
14.56,1.890505
14.57,1.890508
14.58,1.890513
14.59,1.890517
14.6,1.890521
14.61,1.890526
14.62,1.89053
14.63,1.890534
14.64,1.890539
14.65,1.890543
14.66,1.890547
14.67,1.890551
14.68,1.890555
14.69,1.890559
14.7,1.890564
14.71,1.890568
14.72,1.890572
14.73,1.890576
14.74,1.89058
14.75,1.890584
14.76,1.890588
14.77,1.890592
14.78,1.890597
14.79,1.890601
14.8,1.890605
14.81,1.890609
14.82,1.890613
14.83,1.890617
14.84,1.890621
14.85,1.890625
14.86,1.890629
14.87,1.890633
14.88,1.890637
14.89,1.890641
14.9,1.890645
14.91,1.890648
14.92,1.890653
14.93,1.890657
14.94,1.890661
14.95,1.890665
14.96,1.890668
14.97,1.890673
14.98,1.890677
14.99,1.89068
15,1.890684
15.01,1.890688
15.02,1.890692
15.03,1.890695
15.04,1.8907
15.05,1.890703
15.06,1.890708
15.07,1.890711
15.08,1.890715
15.09,1.890719
15.1,1.890722
15.11,1.890727
15.12,1.89073
15.13,1.890734
15.14,1.890737
15.15,1.890742
15.16,1.890745
15.17,1.890749
15.18,1.890752
15.19,1.890756
15.2,1.89076
15.21,1.890763
15.22,1.890768
15.23,1.890771
15.24,1.890774
15.25,1.890779
15.26,1.890783
15.27,1.890786
15.28,1.890789
15.29,1.890793
15.3,1.890796
15.31,1.8908
15.32,1.890804
15.33,1.890808
15.34,1.890811
15.35,1.890814
15.36,1.890818
15.37,1.890822
15.38,1.890825
15.39,1.890829
15.4,1.890833
15.41,1.890836
15.42,1.89084
15.43,1.890843
15.44,1.890847
15.45,1.89085
15.46,1.890854
15.47,1.890857
15.48,1.890861
15.49,1.890864
15.5,1.890868
15.51,1.890871
15.52,1.890874
15.53,1.890878
15.54,1.890881
15.55,1.890885
15.56,1.890888
15.57,1.890891
